product_id,name,category,total_units_sold,daily_sales_rate,current_stock,days_of_supply_remaining,inventory_status
PROD0358,"ZenLife Home Item 358","Home & Kitchen",479,0.44,5,11,"Low Stock"
PROD0418,"NexGen Books Item 418",Books,588,0.54,6,11,"Low Stock"
PROD0426,"StyleCo Clothing Item 426",Clothing,300,0.28,3,11,"Low Stock"
PROD0494,"NexGen Clothing Item 494",Clothing,391,0.37,4,11,"Low Stock"
PROD0011,"NovaTech Beauty Item 11","Beauty & Health",528,0.48,6,12,"Low Stock"
PROD0060,"NovaTech Clothing Item 60",Clothing,358,0.33,4,12,"Low Stock"
PROD0264,"ActiveGear Clothing Item 264",Clothing,827,0.75,9,12,"Low Stock"
PROD0312,"ZenLife Beauty Item 312","Beauty & Health",281,0.26,3,12,"Low Stock"
PROD0345,"ClearView Electronics Item 345",Electronics,282,0.26,3,12,"Low Stock"
PROD0374,"NexGen Clothing Item 374",Clothing,281,0.26,3,12,"Low Stock"
PROD0415,"HomePro Beauty Item 415","Beauty & Health",2456,2.24,28,12,"Low Stock"
PROD0477,"NexGen Toys Item 477","Toys & Games",267,0.24,3,12,"Low Stock"
PROD0496,"PureForm Home Item 496","Home & Kitchen",665,0.61,7,12,"Low Stock"
PROD0008,"PrimeLine Beauty Item 8","Beauty & Health",245,0.23,3,13,"Low Stock"
PROD0112,"BoldEdge Toys Item 112","Toys & Games",344,0.32,4,13,"Low Stock"
PROD0185,"PureForm Electronics Item 185",Electronics,323,0.30,4,13,"Low Stock"
PROD0364,"StyleCo Home Item 364","Home & Kitchen",250,0.23,3,13,"Low Stock"
PROD0375,"BoldEdge Home Item 375","Home & Kitchen",584,0.54,7,13,"Low Stock"
PROD0393,"HomePro Electronics Item 393",Electronics,250,0.23,3,13,"Low Stock"
PROD0457,"NovaTech Home Item 457","Home & Kitchen",323,0.30,4,13,"Low Stock"
PROD0461,"ActiveGear Books Item 461",Books,240,0.22,3,13,"Low Stock"
PROD0470,"GlowUp Clothing Item 470",Clothing,419,0.39,5,13,"Low Stock"
PROD0057,"FunZone Clothing Item 57",Clothing,316,0.29,4,14,"Low Stock"
PROD0255,"BoldEdge Home Item 255","Home & Kitchen",529,0.49,7,14,"Low Stock"
PROD0313,"NexGen Beauty Item 313","Beauty & Health",1157,1.06,15,14,"Low Stock"
PROD0347,"HomePro Clothing Item 347",Clothing,770,0.71,10,14,"Low Stock"
PROD0467,"FunZone Home Item 467","Home & Kitchen",1691,1.55,21,14,"Low Stock"
PROD0040,"PrimeLine Electronics Item 40",Electronics,288,0.27,4,15,"Low Stock"
PROD0068,"PureForm Electronics Item 68",Electronics,737,0.68,10,15,"Low Stock"
PROD0143,"StyleCo Electronics Item 143",Electronics,366,0.33,5,15,"Low Stock"
PROD0161,"ClearView Toys Item 161","Toys & Games",277,0.26,4,15,"Low Stock"
PROD0195,"GlowUp Sports Item 195","Sports & Outdoors",2520,2.30,35,15,"Low Stock"
PROD0295,"ActiveGear Sports Item 295","Sports & Outdoors",355,0.33,5,15,"Low Stock"
PROD0487,"NovaTech Clothing Item 487",Clothing,633,0.58,9,15,"Low Stock"
PROD0275,"ClearView Books Item 275",Books,263,0.25,4,16,"Low Stock"
PROD0448,"CoreBrand Home Item 448","Home & Kitchen",261,0.24,4,16,"Low Stock"
PROD0048,"FunZone Beauty Item 48","Beauty & Health",451,0.42,7,17,"Low Stock"
PROD0095,"ClearView Electronics Item 95",Electronics,254,0.23,4,17,"Low Stock"
PROD0154,"PureForm Toys Item 154","Toys & Games",455,0.42,7,17,"Low Stock"
PROD0157,"BoldEdge Books Item 157",Books,251,0.23,4,17,"Low Stock"
PROD0192,"NexGen Electronics Item 192",Electronics,369,0.34,6,17,"Low Stock"
PROD0326,"ReadMore Home Item 326","Home & Kitchen",523,0.48,8,17,"Low Stock"
PROD0436,"ZenLife Beauty Item 436","Beauty & Health",251,0.23,4,17,"Low Stock"
PROD0481,"ActiveGear Home Item 481","Home & Kitchen",626,0.58,10,17,"Low Stock"
PROD0025,"ActiveGear Toys Item 25","Toys & Games",236,0.22,4,18,"Low Stock"
PROD0034,"ClearView Toys Item 34","Toys & Games",301,0.28,5,18,"Low Stock"
PROD0044,"GlowUp Home Item 44","Home & Kitchen",602,0.55,10,18,"Low Stock"
PROD0083,"HomePro Books Item 83",Books,245,0.23,4,18,"Low Stock"
PROD0131,"ActiveGear Electronics Item 131",Electronics,358,0.33,6,18,"Low Stock"
PROD0170,"CoreBrand Books Item 170",Books,742,0.68,12,18,"Low Stock"
PROD0377,"StyleCo Clothing Item 377",Clothing,361,0.34,6,18,"Low Stock"
PROD0383,"CoreBrand Clothing Item 383",Clothing,240,0.22,4,18,"Low Stock"
PROD0500,"FunZone Beauty Item 500","Beauty & Health",431,0.40,7,18,"Low Stock"
PROD0002,"PrimeLine Clothing Item 2",Clothing,290,0.27,5,19,"Low Stock"
PROD0007,"NexGen Books Item 7",Books,220,0.21,4,19,"Low Stock"
PROD0166,"HomePro Books Item 166",Books,337,0.31,6,19,"Low Stock"
PROD0342,"ActiveGear Clothing Item 342",Clothing,284,0.26,5,19,"Low Stock"
PROD0346,"GlowUp Electronics Item 346",Electronics,222,0.21,4,19,"Low Stock"
PROD0352,"PrimeLine Books Item 352",Books,513,0.47,9,19,"Low Stock"
PROD0158,"StyleCo Sports Item 158","Sports & Outdoors",322,0.30,6,20,"Low Stock"
PROD0059,"BoldEdge Clothing Item 59",Clothing,258,0.24,5,21,"Low Stock"
PROD0309,"NovaTech Clothing Item 309",Clothing,305,0.28,6,21,"Low Stock"
PROD0428,"NovaTech Electronics Item 428",Electronics,251,0.23,5,21,"Low Stock"
PROD0032,"ReadMore Beauty Item 32","Beauty & Health",599,0.55,12,22,"Low Stock"
PROD0070,"ZenLife Electronics Item 70",Electronics,394,0.36,8,22,"Low Stock"
PROD0081,"CoreBrand Sports Item 81","Sports & Outdoors",501,0.46,10,22,"Low Stock"
PROD0087,"NexGen Toys Item 87","Toys & Games",698,0.65,14,22,"Low Stock"
PROD0110,"PureForm Beauty Item 110","Beauty & Health",537,0.49,11,22,"Low Stock"
PROD0172,"HomePro Books Item 172",Books,737,0.68,15,22,"Low Stock"
PROD0191,"ActiveGear Clothing Item 191",Clothing,303,0.28,6,22,"Low Stock"
PROD0259,"CoreBrand Electronics Item 259",Electronics,295,0.27,6,22,"Low Stock"
PROD0340,"ClearView Beauty Item 340","Beauty & Health",353,0.32,7,22,"Low Stock"
PROD0407,"GlowUp Clothing Item 407",Clothing,500,0.46,10,22,"Low Stock"
PROD0416,"NovaTech Clothing Item 416",Clothing,553,0.51,11,22,"Low Stock"
PROD0419,"NovaTech Home Item 419","Home & Kitchen",546,0.50,11,22,"Low Stock"
PROD0425,"ZenLife Home Item 425","Home & Kitchen",298,0.28,6,22,"Low Stock"
PROD0474,"NovaTech Beauty Item 474","Beauty & Health",393,0.36,8,22,"Low Stock"
PROD0006,"ReadMore Beauty Item 6","Beauty & Health",225,0.22,5,23,"Low Stock"
PROD0018,"NovaTech Toys Item 18","Toys & Games",326,0.30,7,23,"Low Stock"
PROD0058,"ActiveGear Clothing Item 58",Clothing,619,0.57,13,23,"Low Stock"
PROD0077,"ReadMore Home Item 77","Home & Kitchen",233,0.22,5,23,"Low Stock"
PROD0180,"ClearView Sports Item 180","Sports & Outdoors",1507,1.38,32,23,"Low Stock"
PROD0232,"NexGen Clothing Item 232",Clothing,281,0.26,6,23,"Low Stock"
PROD0246,"GlowUp Clothing Item 246",Clothing,932,0.85,20,23,"Low Stock"
PROD0304,"FunZone Electronics Item 304",Electronics,325,0.30,7,23,"Low Stock"
PROD0329,"NovaTech Clothing Item 329",Clothing,240,0.22,5,23,"Low Stock"
PROD0361,"GlowUp Electronics Item 361",Electronics,323,0.30,7,23,"Low Stock"
PROD0042,"NexGen Electronics Item 42",Electronics,218,0.21,5,24,"Low Stock"
PROD0051,"PrimeLine Clothing Item 51",Clothing,398,0.37,9,24,"Low Stock"
PROD0114,"PrimeLine Electronics Item 114",Electronics,546,0.51,12,24,"Low Stock"
PROD0124,"FunZone Electronics Item 124",Electronics,321,0.29,7,24,"Low Stock"
PROD0249,"HomePro Books Item 249",Books,226,0.21,5,24,"Low Stock"
PROD0270,"ActiveGear Home Item 270","Home & Kitchen",358,0.33,8,24,"Low Stock"
PROD0316,"ZenLife Toys Item 316","Toys & Games",268,0.25,6,24,"Low Stock"
PROD0321,"StyleCo Toys Item 321","Toys & Games",678,0.62,15,24,"Low Stock"
PROD0024,"CoreBrand Toys Item 24","Toys & Games",347,0.32,8,25,"Low Stock"
PROD0061,"HomePro Beauty Item 61","Beauty & Health",484,0.45,11,25,"Low Stock"
PROD0116,"NexGen Clothing Item 116",Clothing,524,0.48,12,25,"Low Stock"
PROD0122,"NexGen Electronics Item 122",Electronics,262,0.24,6,25,"Low Stock"
PROD0127,"FunZone Electronics Item 127",Electronics,399,0.37,9,25,"Low Stock"
PROD0135,"ActiveGear Electronics Item 135",Electronics,563,0.52,13,25,"Low Stock"
PROD0177,"BoldEdge Clothing Item 177",Clothing,302,0.28,7,25,"Low Stock"
PROD0217,"ActiveGear Clothing Item 217",Clothing,297,0.28,7,25,"Low Stock"
PROD0262,"FunZone Clothing Item 262",Clothing,385,0.36,9,25,"Low Stock"
PROD0293,"NovaTech Beauty Item 293","Beauty & Health",336,0.31,8,25,"Low Stock"
PROD0366,"PureForm Books Item 366",Books,350,0.32,8,25,"Low Stock"
PROD0409,"ClearView Clothing Item 409",Clothing,258,0.24,6,25,"Low Stock"
PROD0442,"PureForm Toys Item 442","Toys & Games",263,0.24,6,25,"Low Stock"
PROD0490,"NexGen Electronics Item 490",Electronics,254,0.24,6,25,"Low Stock"
PROD0150,"PureForm Electronics Item 150",Electronics,451,0.43,11,26,"Low Stock"
PROD0190,"PrimeLine Home Item 190","Home & Kitchen",205,0.19,5,26,"Low Stock"
PROD0208,"ReadMore Electronics Item 208",Electronics,285,0.26,7,26,"Low Stock"
PROD0292,"ZenLife Toys Item 292","Toys & Games",248,0.23,6,26,"Low Stock"
PROD0336,"PrimeLine Books Item 336",Books,1267,1.16,30,26,"Low Stock"
PROD0394,"ActiveGear Toys Item 394","Toys & Games",290,0.27,7,26,"Low Stock"
PROD0422,"ReadMore Electronics Item 422",Electronics,339,0.31,8,26,"Low Stock"
PROD0056,"GlowUp Books Item 56",Books,411,0.38,10,27,"Low Stock"
PROD0138,"CoreBrand Books Item 138",Books,481,0.45,12,27,"Low Stock"
PROD0147,"FunZone Home Item 147","Home & Kitchen",273,0.26,7,27,"Low Stock"
PROD0302,"PrimeLine Electronics Item 302",Electronics,362,0.33,9,27,"Low Stock"
PROD0323,"ActiveGear Home Item 323","Home & Kitchen",796,0.73,20,27,"Low Stock"
PROD0373,"ClearView Clothing Item 373",Clothing,327,0.30,8,27,"Low Stock"
PROD0387,"PureForm Sports Item 387","Sports & Outdoors",273,0.26,7,27,"Low Stock"
PROD0492,"PureForm Clothing Item 492",Clothing,485,0.45,12,27,"Low Stock"
PROD0497,"NexGen Clothing Item 497",Clothing,236,0.22,6,27,"Low Stock"
PROD0039,"PrimeLine Toys Item 39","Toys & Games",272,0.25,7,28,"Low Stock"
PROD0105,"FunZone Clothing Item 105",Clothing,231,0.22,6,28,"Low Stock"
PROD0107,"NexGen Clothing Item 107",Clothing,1240,1.13,32,28,"Low Stock"
PROD0118,"PrimeLine Beauty Item 118","Beauty & Health",348,0.32,9,28,"Low Stock"
PROD0281,"PureForm Electronics Item 281",Electronics,385,0.35,10,28,"Low Stock"
PROD0283,"FunZone Home Item 283","Home & Kitchen",349,0.32,9,28,"Low Stock"
PROD0348,"ReadMore Home Item 348","Home & Kitchen",272,0.25,7,28,"Low Stock"
PROD0363,"ClearView Toys Item 363","Toys & Games",311,0.29,8,28,"Low Stock"
PROD0472,"NovaTech Home Item 472","Home & Kitchen",1370,1.25,35,28,"Low Stock"
PROD0019,"StyleCo Beauty Item 19","Beauty & Health",631,0.58,17,29,"Low Stock"
PROD0045,"GlowUp Electronics Item 45",Electronics,442,0.41,12,29,"Low Stock"
PROD0278,"ZenLife Electronics Item 278",Electronics,380,0.35,10,29,"Low Stock"
PROD0379,"BoldEdge Books Item 379",Books,383,0.35,10,29,"Low Stock"
PROD0438,"ActiveGear Toys Item 438","Toys & Games",496,0.45,13,29,"Low Stock"
PROD0480,"PureForm Sports Item 480","Sports & Outdoors",371,0.35,10,29,"Low Stock"
PROD0065,"FunZone Clothing Item 65",Clothing,294,0.27,8,30,"Low Stock"
PROD0089,"PrimeLine Electronics Item 89",Electronics,471,0.43,13,30,"Overstock/ Slow moving"
PROD0163,"PrimeLine Beauty Item 163","Beauty & Health",255,0.23,7,30,"Low Stock"
PROD0182,"ReadMore Electronics Item 182",Electronics,248,0.23,7,30,"Overstock/ Slow moving"
PROD0360,"ActiveGear Clothing Item 360",Clothing,508,0.47,14,30,"Low Stock"
PROD0459,"ReadMore Beauty Item 459","Beauty & Health",702,0.64,19,30,"Low Stock"
PROD0468,"FunZone Electronics Item 468",Electronics,833,0.76,23,30,"Overstock/ Slow moving"
PROD0036,"NovaTech Clothing Item 36",Clothing,592,0.55,17,31,"Healthy Stock"
PROD0043,"ClearView Clothing Item 43",Clothing,239,0.23,7,31,"Healthy Stock"
PROD0145,"ActiveGear Sports Item 145","Sports & Outdoors",533,0.49,15,31,"Overstock/ Slow moving"
PROD0229,"HomePro Electronics Item 229",Electronics,455,0.42,13,31,"Overstock/ Slow moving"
PROD0235,"NovaTech Clothing Item 235",Clothing,285,0.26,8,31,"Overstock/ Slow moving"
PROD0301,"FunZone Beauty Item 301","Beauty & Health",350,0.32,10,31,"Healthy Stock"
PROD0344,"PureForm Electronics Item 344",Electronics,232,0.22,7,31,"Healthy Stock"
PROD0408,"ZenLife Home Item 408","Home & Kitchen",605,0.55,17,31,"Overstock/ Slow moving"
PROD0450,"NovaTech Sports Item 450","Sports & Outdoors",244,0.23,7,31,"Overstock/ Slow moving"
PROD0074,"FunZone Electronics Item 74",Electronics,368,0.34,11,32,"Healthy Stock"
PROD0092,"FunZone Clothing Item 92",Clothing,336,0.31,10,32,"Healthy Stock"
PROD0109,"BoldEdge Clothing Item 109",Clothing,504,0.47,15,32,"Healthy Stock"
PROD0171,"GlowUp Sports Item 171","Sports & Outdoors",312,0.28,9,32,"Healthy Stock"
PROD0324,"ClearView Beauty Item 324","Beauty & Health",1489,1.36,43,32,"Healthy Stock"
PROD0372,"ActiveGear Clothing Item 372",Clothing,304,0.28,9,32,"Healthy Stock"
PROD0004,"HomePro Electronics Item 4",Electronics,524,0.48,16,33,"Healthy Stock"
PROD0091,"StyleCo Toys Item 91","Toys & Games",292,0.27,9,33,"Healthy Stock"
PROD0148,"ClearView Beauty Item 148","Beauty & Health",434,0.40,13,33,"Healthy Stock"
PROD0174,"ActiveGear Electronics Item 174",Electronics,490,0.45,15,33,"Healthy Stock"
PROD0184,"ZenLife Home Item 184","Home & Kitchen",430,0.39,13,33,"Healthy Stock"
PROD0210,"NovaTech Electronics Item 210",Electronics,326,0.30,10,33,"Healthy Stock"
PROD0220,"GlowUp Clothing Item 220",Clothing,362,0.33,11,33,"Healthy Stock"
PROD0243,"StyleCo Electronics Item 243",Electronics,232,0.22,7,33,"Healthy Stock"
PROD0354,"ActiveGear Books Item 354",Books,561,0.52,17,33,"Healthy Stock"
PROD0417,"PureForm Sports Item 417","Sports & Outdoors",230,0.22,7,33,"Healthy Stock"
PROD0420,"ReadMore Electronics Item 420",Electronics,452,0.42,14,33,"Healthy Stock"
PROD0451,"BoldEdge Clothing Item 451",Clothing,496,0.45,15,33,"Healthy Stock"
PROD0460,"ActiveGear Toys Item 460","Toys & Games",1766,1.62,54,33,"Healthy Stock"
PROD0027,"PureForm Clothing Item 27",Clothing,418,0.39,13,34,"Healthy Stock"
PROD0085,"GlowUp Sports Item 85","Sports & Outdoors",1197,1.09,37,34,"Healthy Stock"
PROD0106,"PureForm Home Item 106","Home & Kitchen",319,0.29,10,34,"Healthy Stock"
PROD0196,"NovaTech Home Item 196","Home & Kitchen",551,0.51,17,34,"Healthy Stock"
PROD0240,"PureForm Books Item 240",Books,702,0.64,22,34,"Healthy Stock"
PROD0265,"HomePro Home Item 265","Home & Kitchen",346,0.32,11,34,"Healthy Stock"
PROD0306,"ReadMore Home Item 306","Home & Kitchen",316,0.29,10,34,"Healthy Stock"
PROD0322,"FunZone Home Item 322","Home & Kitchen",446,0.41,14,34,"Healthy Stock"
PROD0368,"BoldEdge Clothing Item 368",Clothing,321,0.30,10,34,"Healthy Stock"
PROD0370,"GlowUp Sports Item 370","Sports & Outdoors",640,0.59,20,34,"Healthy Stock"
PROD0405,"CoreBrand Clothing Item 405",Clothing,377,0.35,12,34,"Healthy Stock"
PROD0421,"ClearView Home Item 421","Home & Kitchen",286,0.26,9,34,"Healthy Stock"
PROD0009,"ZenLife Sports Item 9","Sports & Outdoors",315,0.29,10,35,"Healthy Stock"
PROD0078,"StyleCo Beauty Item 78","Beauty & Health",337,0.31,11,35,"Healthy Stock"
PROD0227,"BoldEdge Beauty Item 227","Beauty & Health",392,0.37,13,35,"Healthy Stock"
PROD0307,"GlowUp Electronics Item 307",Electronics,406,0.37,13,35,"Healthy Stock"
PROD0335,"BoldEdge Electronics Item 335",Electronics,346,0.32,11,35,"Healthy Stock"
PROD0390,"NexGen Electronics Item 390",Electronics,368,0.34,12,35,"Healthy Stock"
PROD0395,"BoldEdge Sports Item 395","Sports & Outdoors",657,0.61,21,35,"Healthy Stock"
PROD0139,"ReadMore Home Item 139","Home & Kitchen",298,0.27,10,36,"Healthy Stock"
PROD0188,"ClearView Beauty Item 188","Beauty & Health",256,0.25,9,36,"Healthy Stock"
PROD0104,"ClearView Toys Item 104","Toys & Games",1113,1.03,38,37,"Healthy Stock"
PROD0121,"ZenLife Electronics Item 121",Electronics,376,0.35,13,37,"Healthy Stock"
PROD0123,"ClearView Beauty Item 123","Beauty & Health",323,0.30,11,37,"Healthy Stock"
PROD0152,"FunZone Toys Item 152","Toys & Games",318,0.30,11,37,"Healthy Stock"
PROD0261,"ZenLife Electronics Item 261",Electronics,617,0.57,21,37,"Healthy Stock"
PROD0355,"NovaTech Books Item 355",Books,233,0.22,8,37,"Healthy Stock"
PROD0381,"CoreBrand Electronics Item 381",Electronics,356,0.33,12,37,"Healthy Stock"
PROD0423,"BoldEdge Sports Item 423","Sports & Outdoors",370,0.35,13,37,"Healthy Stock"
PROD0431,"StyleCo Clothing Item 431",Clothing,296,0.27,10,37,"Healthy Stock"
PROD0476,"HomePro Sports Item 476","Sports & Outdoors",265,0.24,9,37,"Healthy Stock"
PROD0484,"FunZone Clothing Item 484",Clothing,701,0.64,24,37,"Healthy Stock"
PROD0031,"ZenLife Clothing Item 31",Clothing,730,0.67,25,38,"Healthy Stock"
PROD0033,"ActiveGear Books Item 33",Books,311,0.29,11,38,"Healthy Stock"
PROD0126,"HomePro Sports Item 126","Sports & Outdoors",490,0.45,17,38,"Healthy Stock"
PROD0213,"FunZone Books Item 213",Books,344,0.32,12,38,"Healthy Stock"
PROD0315,"StyleCo Home Item 315","Home & Kitchen",286,0.26,10,38,"Healthy Stock"
PROD0376,"PrimeLine Electronics Item 376",Electronics,284,0.26,10,38,"Healthy Stock"
PROD0454,"ZenLife Books Item 454",Books,925,0.85,32,38,"Healthy Stock"
PROD0473,"ClearView Electronics Item 473",Electronics,199,0.18,7,38,"Healthy Stock"
PROD0003,"GlowUp Home Item 3","Home & Kitchen",304,0.28,11,39,"Healthy Stock"
PROD0015,"ZenLife Electronics Item 15",Electronics,337,0.31,12,39,"Healthy Stock"
PROD0173,"HomePro Sports Item 173","Sports & Outdoors",732,0.67,26,39,"Healthy Stock"
PROD0404,"GlowUp Books Item 404",Books,304,0.28,11,39,"Healthy Stock"
PROD0052,"BoldEdge Sports Item 52","Sports & Outdoors",431,0.40,16,40,"Healthy Stock"
PROD0063,"BoldEdge Clothing Item 63",Clothing,302,0.28,11,40,"Healthy Stock"
PROD0141,"GlowUp Sports Item 141","Sports & Outdoors",379,0.35,14,40,"Healthy Stock"
PROD0280,"ReadMore Clothing Item 280",Clothing,545,0.50,20,40,"Healthy Stock"
PROD0013,"FunZone Clothing Item 13",Clothing,235,0.22,9,41,"Healthy Stock"
PROD0080,"GlowUp Home Item 80","Home & Kitchen",899,0.82,34,41,"Healthy Stock"
PROD0189,"GlowUp Beauty Item 189","Beauty & Health",486,0.44,18,41,"Healthy Stock"
PROD0225,"PrimeLine Home Item 225","Home & Kitchen",237,0.22,9,41,"Healthy Stock"
PROD0231,"StyleCo Electronics Item 231",Electronics,668,0.61,25,41,"Healthy Stock"
PROD0318,"StyleCo Electronics Item 318",Electronics,530,0.49,20,41,"Healthy Stock"
PROD0445,"BoldEdge Home Item 445","Home & Kitchen",473,0.44,18,41,"Healthy Stock"
PROD0021,"NexGen Sports Item 21","Sports & Outdoors",353,0.33,14,42,"Healthy Stock"
PROD0049,"ReadMore Toys Item 49","Toys & Games",262,0.24,10,42,"Healthy Stock"
PROD0096,"FunZone Books Item 96",Books,407,0.38,16,42,"Healthy Stock"
PROD0228,"ZenLife Home Item 228","Home & Kitchen",337,0.31,13,42,"Healthy Stock"
PROD0303,"GlowUp Electronics Item 303",Electronics,230,0.21,9,42,"Healthy Stock"
PROD0310,"PrimeLine Home Item 310","Home & Kitchen",336,0.31,13,42,"Healthy Stock"
PROD0331,"NexGen Clothing Item 331",Clothing,993,0.91,38,42,"Healthy Stock"
PROD0489,"StyleCo Toys Item 489","Toys & Games",259,0.24,10,42,"Healthy Stock"
PROD0072,"ClearView Sports Item 72","Sports & Outdoors",179,0.16,7,43,"Healthy Stock"
PROD0102,"NovaTech Sports Item 102","Sports & Outdoors",459,0.42,18,43,"Healthy Stock"
PROD0137,"NexGen Sports Item 137","Sports & Outdoors",277,0.25,11,43,"Healthy Stock"
PROD0427,"HomePro Home Item 427","Home & Kitchen",582,0.53,23,43,"Healthy Stock"
PROD0453,"ZenLife Clothing Item 453",Clothing,429,0.39,17,43,"Healthy Stock"
PROD0463,"NexGen Sports Item 463","Sports & Outdoors",407,0.37,16,43,"Healthy Stock"
PROD0023,"FunZone Clothing Item 23",Clothing,2765,2.52,111,44,"Healthy Stock"
PROD0075,"ReadMore Sports Item 75","Sports & Outdoors",763,0.70,31,44,"Healthy Stock"
PROD0156,"NovaTech Home Item 156","Home & Kitchen",295,0.27,12,44,"Healthy Stock"
PROD0168,"StyleCo Clothing Item 168",Clothing,352,0.32,14,44,"Healthy Stock"
PROD0206,"HomePro Clothing Item 206",Clothing,599,0.55,24,44,"Healthy Stock"
PROD0219,"ClearView Books Item 219",Books,565,0.53,23,44,"Healthy Stock"
PROD0256,"GlowUp Clothing Item 256",Clothing,389,0.36,16,44,"Healthy Stock"
PROD0300,"ClearView Electronics Item 300",Electronics,324,0.30,13,44,"Healthy Stock"
PROD0341,"FunZone Books Item 341",Books,245,0.23,10,44,"Healthy Stock"
PROD0388,"FunZone Books Item 388",Books,337,0.32,14,44,"Healthy Stock"
PROD0396,"PureForm Clothing Item 396",Clothing,1578,1.44,64,44,"Healthy Stock"
PROD0412,"GlowUp Beauty Item 412","Beauty & Health",393,0.37,16,44,"Healthy Stock"
PROD0435,"FunZone Clothing Item 435",Clothing,322,0.30,13,44,"Healthy Stock"
PROD0466,"PureForm Sports Item 466","Sports & Outdoors",345,0.32,14,44,"Healthy Stock"
PROD0012,"GlowUp Electronics Item 12",Electronics,775,0.73,33,45,"Healthy Stock"
PROD0098,"BoldEdge Home Item 98","Home & Kitchen",314,0.29,13,45,"Healthy Stock"
PROD0175,"StyleCo Toys Item 175","Toys & Games",1064,0.97,44,45,"Healthy Stock"
PROD0266,"StyleCo Home Item 266","Home & Kitchen",313,0.29,13,45,"Healthy Stock"
PROD0338,"NexGen Beauty Item 338","Beauty & Health",1053,0.96,43,45,"Healthy Stock"
PROD0392,"ReadMore Books Item 392",Books,338,0.31,14,45,"Healthy Stock"
PROD0069,"NexGen Clothing Item 69",Clothing,825,0.76,35,46,"Healthy Stock"
PROD0071,"NovaTech Electronics Item 71",Electronics,260,0.24,11,46,"Healthy Stock"
PROD0086,"ActiveGear Clothing Item 86",Clothing,255,0.24,11,46,"Healthy Stock"
PROD0120,"PureForm Home Item 120","Home & Kitchen",400,0.37,17,46,"Healthy Stock"
PROD0142,"HomePro Beauty Item 142","Beauty & Health",369,0.35,16,46,"Healthy Stock"
PROD0285,"ZenLife Clothing Item 285",Clothing,792,0.73,33,46,"Healthy Stock"
PROD0452,"FunZone Clothing Item 452",Clothing,1660,1.51,70,46,"Healthy Stock"
PROD0486,"ReadMore Toys Item 486","Toys & Games",1066,0.98,45,46,"Healthy Stock"
PROD0016,"NexGen Books Item 16",Books,181,0.17,8,47,"Healthy Stock"
PROD0050,"ReadMore Books Item 50",Books,345,0.32,15,47,"Healthy Stock"
PROD0066,"ZenLife Home Item 66","Home & Kitchen",414,0.38,18,47,"Healthy Stock"
