return_id,transaction_id,customer_id,product_id,return_date,reason,refund_amount_usd,restocked
RET00091,TXN001460,CUST04630,PROD0448,2024-01-24,defective,171.9,True
RET00092,TXN001463,CUST01601,PROD0372,2023-09-23,wrong_item,152.78,True
RET00093,TXN001482,CUST04987,PROD0249,2023-08-12,defective,102.6,True
RET00094,TXN001494,CUST01752,PROD0052,2024-11-05,changed_mind,268.44,True
RET00095,TXN001524,CUST02345,PROD0023,2024-12-26,wrong_item,574.56,False
RET00096,TXN001548,CUST03092,PROD0195,2023-01-17,changed_mind,75.32,True
RET00097,TXN001563,CUST01582,PROD0440,2023-07-24,changed_mind,179.1,True
RET00098,TXN001590,CUST07833,PROD0051,2022-12-11,late_delivery,93.57,True
RET00099,TXN001605,CUST07897,PROD0288,2024-06-16,defective,129.24,False
RET00100,TXN001618,CUST05690,PROD0405,2022-07-17,wrong_item,162.31,False
RET00101,TXN001656,CUST04755,PROD0246,2022-12-25,changed_mind,305.29,True
RET00102,TXN001676,CUST05127,PROD0307,2023-07-04,defective,6417.9,True
RET00103,TXN001705,CUST06168,PROD0321,2022-09-04,not_as_described,111.62,False
RET00104,TXN001721,CUST04773,PROD0036,2023-10-27,defective,24.2,False
RET00105,TXN001730,CUST05522,PROD0493,2024-12-28,late_delivery,267.24,False
RET00106,TXN001739,CUST06693,PROD0039,2023-01-06,defective,53.71,True
RET00107,TXN001754,CUST00762,PROD0448,2022-04-22,wrong_item,34.38,True
RET00108,TXN001760,CUST01820,PROD0467,2022-03-03,not_as_described,576.47,True
RET00109,TXN001768,CUST05248,PROD0286,2024-11-13,changed_mind,115.4,True
RET00110,TXN001771,CUST04295,PROD0074,2023-08-15,late_delivery,1073.9,False
RET00111,TXN001775,CUST01279,PROD0203,2024-12-20,not_as_described,40.32,False
RET00112,TXN001787,CUST02283,PROD0431,2022-05-09,not_as_described,197.23,True
RET00113,TXN001788,CUST02470,PROD0286,2022-03-19,changed_mind,128.97,True
RET00114,TXN001798,CUST05979,PROD0096,2022-04-01,late_delivery,111.36,False
RET00115,TXN001806,CUST01622,PROD0323,2022-07-24,wrong_item,501.88,False
RET00116,TXN001833,CUST05893,PROD0459,2024-04-11,changed_mind,171.6,False
RET00117,TXN001835,CUST01333,PROD0032,2024-12-02,not_as_described,403.32,True
RET00118,TXN001837,CUST03425,PROD0080,2024-10-21,defective,83.76,True
RET00119,TXN001865,CUST02241,PROD0403,2022-09-24,changed_mind,26.11,True
RET00120,TXN001895,CUST01084,PROD0419,2024-10-11,not_as_described,189.02,True
RET00121,TXN001901,CUST07472,PROD0418,2022-07-27,wrong_item,26.96,True
RET00122,TXN001907,CUST03343,PROD0055,2023-05-05,wrong_item,642.36,False
RET00123,TXN001912,CUST00785,PROD0055,2023-04-07,changed_mind,179.48,True
RET00124,TXN001914,CUST06779,PROD0259,2023-03-20,defective,1195.14,False
RET00125,TXN001920,CUST02271,PROD0276,2022-12-01,changed_mind,790.5,False
RET00126,TXN001933,CUST01425,PROD0055,2024-01-01,changed_mind,1076.9,False
RET00127,TXN001941,CUST07716,PROD0284,2023-01-03,changed_mind,2545.52,False
RET00128,TXN001967,CUST03566,PROD0018,2024-03-25,late_delivery,64.23,True
RET00129,TXN001973,CUST01030,PROD0412,2022-08-16,defective,182.46,True
RET00130,TXN001990,CUST05040,PROD0115,2023-01-11,changed_mind,1301.61,True
RET00131,TXN001997,CUST01792,PROD0222,2022-01-22,changed_mind,178.44,True
RET00132,TXN002014,CUST03617,PROD0074,2024-11-05,not_as_described,4804.28,True
RET00133,TXN002022,CUST02539,PROD0312,2022-10-22,changed_mind,64.57,True
RET00134,TXN002028,CUST01308,PROD0473,2023-04-18,not_as_described,713.54,True
RET00135,TXN002033,CUST03544,PROD0443,2022-10-27,changed_mind,521.36,True
RET00136,TXN002040,CUST03942,PROD0246,2024-02-08,defective,160.68,False
RET00137,TXN002043,CUST00430,PROD0019,2022-10-14,wrong_item,122.63,False
RET00138,TXN002059,CUST04624,PROD0359,2022-01-24,wrong_item,179.58,True
RET00139,TXN002067,CUST01713,PROD0359,2022-05-11,defective,53.56,True
RET00140,TXN002075,CUST07391,PROD0041,2023-02-12,defective,53.26,False
RET00141,TXN002093,CUST04052,PROD0315,2024-08-24,not_as_described,61.67,True
RET00142,TXN002133,CUST01068,PROD0419,2024-05-17,not_as_described,212.64,True
RET00143,TXN002143,CUST05631,PROD0396,2024-07-31,changed_mind,99.89,True
RET00144,TXN002159,CUST03358,PROD0198,2022-05-17,defective,436.0,True
RET00145,TXN002168,CUST01066,PROD0154,2023-12-15,not_as_described,129.18,True
RET00146,TXN002175,CUST07003,PROD0396,2024-08-18,changed_mind,33.3,True
RET00147,TXN002178,CUST05985,PROD0174,2023-08-17,defective,7502.33,False
RET00148,TXN002218,CUST03436,PROD0277,2022-04-24,late_delivery,864.6,True
RET00149,TXN002229,CUST04493,PROD0273,2023-10-09,not_as_described,1924.98,False
RET00150,TXN002230,CUST05694,PROD0493,2022-12-06,defective,253.88,False
RET00151,TXN002259,CUST05588,PROD0238,2023-11-14,wrong_item,1080.72,False
RET00152,TXN002287,CUST07112,PROD0382,2023-07-22,changed_mind,18.19,True
RET00153,TXN002300,CUST06059,PROD0339,2023-01-10,wrong_item,262.47,True
RET00154,TXN002356,CUST07453,PROD0379,2024-09-04,changed_mind,9.32,True
RET00155,TXN002365,CUST01713,PROD0055,2022-05-05,not_as_described,481.77,False
RET00156,TXN002369,CUST05436,PROD0468,2022-06-05,changed_mind,1046.9,False
RET00157,TXN002376,CUST07796,PROD0085,2023-09-09,not_as_described,482.08,True
RET00158,TXN002404,CUST04226,PROD0111,2024-08-04,defective,15.13,True
RET00159,TXN002409,CUST07786,PROD0104,2024-06-05,changed_mind,238.32,False
RET00160,TXN002411,CUST04931,PROD0125,2023-06-23,wrong_item,3350.5,True
RET00161,TXN002412,CUST05917,PROD0496,2022-03-09,not_as_described,193.95,False
RET00162,TXN002420,CUST03677,PROD0385,2022-06-21,defective,115.79,False
RET00163,TXN002433,CUST06987,PROD0243,2023-02-12,defective,970.75,True
RET00164,TXN002438,CUST02200,PROD0395,2023-03-14,changed_mind,1875.68,True
RET00165,TXN002447,CUST04788,PROD0092,2023-08-18,changed_mind,615.55,False
RET00166,TXN002455,CUST00039,PROD0353,2024-04-17,defective,323.54,True
RET00167,TXN002458,CUST07691,PROD0241,2023-09-18,late_delivery,40.98,True
RET00168,TXN002481,CUST05336,PROD0444,2024-09-11,not_as_described,2666.51,True
RET00169,TXN002491,CUST01137,PROD0286,2023-01-06,not_as_described,644.86,True
RET00170,TXN002530,CUST05273,PROD0427,2024-07-30,defective,228.49,True
RET00171,TXN002558,CUST03000,PROD0234,2023-05-11,defective,230.7,True
RET00172,TXN002566,CUST07850,PROD0276,2022-08-09,changed_mind,790.5,True
RET00173,TXN002589,CUST01575,PROD0049,2022-04-17,defective,22.25,True
RET00174,TXN002602,CUST07345,PROD0227,2022-09-25,defective,98.22,True
RET00175,TXN002606,CUST02541,PROD0353,2023-05-12,defective,384.2,False
RET00176,TXN002615,CUST07583,PROD0481,2022-05-23,not_as_described,265.26,True
RET00177,TXN002636,CUST01974,PROD0015,2023-07-01,defective,935.85,True
RET00178,TXN002638,CUST02410,PROD0045,2024-08-19,defective,131.14,True
RET00179,TXN002649,CUST05467,PROD0220,2024-09-03,wrong_item,167.14,False
RET00180,TXN002662,CUST00481,PROD0468,2022-07-08,defective,4187.59,False
RET00181,TXN002695,CUST05113,PROD0242,2024-01-28,late_delivery,434.28,False
RET00182,TXN002705,CUST00380,PROD0295,2022-06-01,wrong_item,704.64,False
RET00183,TXN002716,CUST03401,PROD0117,2022-10-28,not_as_described,14.86,True
RET00184,TXN002722,CUST05170,PROD0241,2024-01-18,wrong_item,51.22,True
RET00185,TXN002733,CUST00020,PROD0115,2023-12-17,not_as_described,1952.42,True
RET00186,TXN002753,CUST04573,PROD0048,2024-01-23,defective,710.22,True
RET00187,TXN002754,CUST00931,PROD0169,2024-03-25,changed_mind,5149.26,True
RET00188,TXN002763,CUST05132,PROD0278,2022-11-19,wrong_item,193.98,True
RET00189,TXN002772,CUST05757,PROD0242,2024-10-09,changed_mind,1563.41,True
RET00190,TXN002785,CUST04644,PROD0221,2024-01-11,not_as_described,584.95,True
RET00191,TXN002786,CUST01221,PROD0208,2024-11-29,late_delivery,2037.61,True
RET00192,TXN002787,CUST04636,PROD0472,2024-09-11,wrong_item,181.47,False
RET00193,TXN002788,CUST04288,PROD0401,2023-12-22,changed_mind,169.18,False
RET00194,TXN002793,CUST02002,PROD0063,2023-12-03,not_as_described,1380.11,True
RET00195,TXN002800,CUST04873,PROD0443,2023-06-08,defective,443.16,True
RET00196,TXN002836,CUST03496,PROD0085,2023-09-01,late_delivery,254.43,True
RET00197,TXN002878,CUST01825,PROD0454,2023-06-24,wrong_item,96.93,True
RET00198,TXN002900,CUST07467,PROD0094,2022-04-02,late_delivery,22.01,True
RET00199,TXN002914,CUST04671,PROD0138,2023-06-29,changed_mind,49.08,False
RET00200,TXN002929,CUST05248,PROD0075,2023-12-07,late_delivery,337.76,True
RET00201,TXN002939,CUST01593,PROD0174,2023-12-22,not_as_described,1128.17,False
RET00202,TXN002950,CUST03763,PROD0166,2023-07-22,changed_mind,59.49,False
RET00203,TXN002953,CUST03054,PROD0248,2023-01-04,changed_mind,375.72,False
RET00204,TXN002968,CUST02757,PROD0288,2022-09-03,wrong_item,244.87,True
RET00205,TXN002972,CUST01713,PROD0055,2022-10-10,not_as_described,160.59,True
RET00206,TXN002984,CUST02356,PROD0359,2022-06-30,wrong_item,126.02,True
RET00207,TXN002989,CUST03610,PROD0055,2023-06-05,wrong_item,188.93,True
RET00208,TXN002997,CUST05248,PROD0336,2023-11-12,not_as_described,52.69,True
RET00209,TXN002998,CUST04773,PROD0331,2024-06-17,not_as_described,1233.2,True
RET00210,TXN003000,CUST04600,PROD0172,2023-01-12,late_delivery,32.68,True
RET00211,TXN003020,CUST02875,PROD0238,2024-12-16,not_as_described,255.96,True
RET00212,TXN003048,CUST02887,PROD0319,2024-06-01,not_as_described,968.3,False
RET00213,TXN003052,CUST00466,PROD0331,2024-06-21,wrong_item,123.32,True
RET00214,TXN003067,CUST01863,PROD0359,2022-10-11,changed_mind,119.72,False
RET00215,TXN003081,CUST06503,PROD0415,2023-12-21,defective,370.66,True
RET00216,TXN003085,CUST05351,PROD0148,2023-11-30,changed_mind,30.63,False
RET00217,TXN003111,CUST03386,PROD0296,2023-11-09,defective,384.94,True
RET00218,TXN003113,CUST05517,PROD0483,2022-08-01,not_as_described,218.92,True
RET00219,TXN003130,CUST03496,PROD0342,2024-12-13,not_as_described,890.15,True
RET00220,TXN003133,CUST01940,PROD0061,2023-01-27,changed_mind,163.89,True
RET00221,TXN003137,CUST06292,PROD0151,2024-04-06,changed_mind,147.88,True
RET00222,TXN003157,CUST06863,PROD0419,2024-03-21,changed_mind,224.46,True
RET00223,TXN003169,CUST04440,PROD0470,2022-09-01,wrong_item,282.15,True
RET00224,TXN003190,CUST02273,PROD0450,2023-01-01,wrong_item,337.79,False
RET00225,TXN003218,CUST04295,PROD0219,2023-04-19,not_as_described,113.22,True
RET00226,TXN003236,CUST02855,PROD0408,2023-02-01,wrong_item,58.36,False
RET00227,TXN003239,CUST01320,PROD0080,2024-06-22,not_as_described,88.42,False
RET00228,TXN003240,CUST01185,PROD0094,2023-01-09,changed_mind,11.62,True
RET00229,TXN003252,CUST02630,PROD0336,2023-04-27,changed_mind,284.53,True
RET00230,TXN003272,CUST05458,PROD0123,2025-01-09,defective,38.91,True
RET00231,TXN003274,CUST03742,PROD0232,2022-08-19,changed_mind,131.95,True
RET00232,TXN003300,CUST06065,PROD0134,2022-09-13,changed_mind,655.55,False
RET00233,TXN003307,CUST07451,PROD0061,2024-02-09,defective,163.89,False
RET00234,TXN003316,CUST01871,PROD0124,2024-11-26,wrong_item,991.51,False
RET00235,TXN003352,CUST06839,PROD0416,2022-01-27,wrong_item,143.63,True
RET00236,TXN003363,CUST00109,PROD0147,2023-04-16,not_as_described,185.04,True
RET00237,TXN003393,CUST01357,PROD0314,2024-06-16,wrong_item,235.37,False
RET00238,TXN003406,CUST03391,PROD0351,2022-04-16,changed_mind,74.52,True
RET00239,TXN003429,CUST00785,PROD0231,2024-07-13,defective,372.0,True
RET00240,TXN003431,CUST02288,PROD0485,2022-07-14,late_delivery,38.29,False
RET00241,TXN003457,CUST07786,PROD0099,2024-01-16,not_as_described,788.5,True
RET00242,TXN003458,CUST06588,PROD0311,2023-01-10,defective,226.6,True
RET00243,TXN003459,CUST02311,PROD0353,2024-12-28,wrong_item,161.77,True
RET00244,TXN003489,CUST01466,PROD0357,2023-12-29,changed_mind,89.4,True
RET00245,TXN003490,CUST04722,PROD0416,2022-06-24,late_delivery,287.26,True
RET00246,TXN003498,CUST00373,PROD0404,2023-05-19,not_as_described,9.32,True
RET00247,TXN003501,CUST03925,PROD0130,2023-10-08,not_as_described,308.68,True
RET00248,TXN003537,CUST00235,PROD0097,2023-08-27,not_as_described,1192.7,True
RET00249,TXN003541,CUST07289,PROD0055,2022-08-08,changed_mind,160.59,True
RET00250,TXN003548,CUST00969,PROD0420,2022-11-08,defective,1944.76,False
RET00251,TXN003562,CUST05029,PROD0111,2024-11-11,late_delivery,15.13,False
RET00252,TXN003571,CUST00136,PROD0044,2022-06-20,changed_mind,1256.96,True
RET00253,TXN003579,CUST05858,PROD0269,2023-06-21,wrong_item,88.9,True
RET00254,TXN003589,CUST07374,PROD0255,2024-11-30,not_as_described,314.04,False
RET00255,TXN003606,CUST06446,PROD0408,2022-03-25,late_delivery,308.97,False
RET00256,TXN003615,CUST05189,PROD0114,2024-12-10,defective,2891.67,True
RET00257,TXN003625,CUST02835,PROD0269,2022-12-07,defective,84.46,False
RET00258,TXN003641,CUST03000,PROD0472,2024-12-01,wrong_item,1915.48,False
RET00259,TXN003663,CUST01713,PROD0406,2023-10-25,wrong_item,71.98,True
RET00260,TXN003664,CUST06101,PROD0090,2022-09-06,not_as_described,425.13,True
RET00261,TXN003667,CUST04324,PROD0299,2024-03-10,not_as_described,49.34,True
RET00262,TXN003687,CUST05390,PROD0417,2024-01-19,defective,29.74,True
RET00263,TXN003698,CUST01498,PROD0248,2024-07-09,changed_mind,131.83,False
RET00264,TXN003726,CUST06544,PROD0276,2022-07-13,late_delivery,1422.9,True
RET00265,TXN003741,CUST07300,PROD0217,2024-01-27,not_as_described,151.81,True
RET00266,TXN003753,CUST01713,PROD0470,2023-03-13,not_as_described,268.04,True
RET00267,TXN003778,CUST02761,PROD0374,2024-10-03,not_as_described,504.94,False
RET00268,TXN003818,CUST04180,PROD0095,2022-04-06,wrong_item,1020.49,False
RET00269,TXN003824,CUST05950,PROD0298,2024-11-30,changed_mind,624.94,True
RET00270,TXN003852,CUST04609,PROD0158,2024-08-28,late_delivery,122.09,True
RET00271,TXN003860,CUST00208,PROD0133,2022-12-17,not_as_described,151.77,True
RET00272,TXN003889,CUST00895,PROD0276,2024-09-05,not_as_described,3162.0,True
RET00273,TXN003891,CUST00909,PROD0483,2023-09-15,wrong_item,230.44,True
RET00274,TXN003928,CUST05212,PROD0388,2024-08-17,wrong_item,59.62,False
RET00275,TXN003952,CUST05847,PROD0259,2023-03-03,defective,566.12,True
RET00276,TXN003962,CUST07068,PROD0336,2022-05-25,not_as_described,126.46,True
RET00277,TXN003965,CUST04912,PROD0429,2023-10-28,not_as_described,242.46,True
RET00278,TXN003991,CUST01520,PROD0412,2024-12-21,late_delivery,192.06,False
RET00279,TXN003993,CUST01801,PROD0402,2023-12-13,changed_mind,37.5,True
RET00280,TXN004034,CUST04341,PROD0390,2023-12-17,wrong_item,755.16,True
RET00281,TXN004037,CUST06533,PROD0001,2022-07-26,changed_mind,24.53,True
RET00282,TXN004050,CUST06260,PROD0076,2022-12-21,changed_mind,1387.29,True
RET00283,TXN004054,CUST07229,PROD0376,2022-11-03,not_as_described,202.85,False
RET00284,TXN004058,CUST05162,PROD0379,2024-03-27,defective,87.98,True
RET00285,TXN004068,CUST05560,PROD0315,2023-07-14,late_delivery,16.23,True
RET00286,TXN004077,CUST00775,PROD0118,2023-05-11,wrong_item,493.53,True
RET00287,TXN004080,CUST07051,PROD0195,2023-10-21,not_as_described,79.51,True
RET00288,TXN004094,CUST03081,PROD0415,2022-09-27,changed_mind,185.33,True
RET00289,TXN004097,CUST04439,PROD0373,2025-01-08,defective,110.65,False
RET00290,TXN004101,CUST01713,PROD0175,2022-05-19,late_delivery,111.13,False
RET00291,TXN004105,CUST00672,PROD0080,2023-09-11,not_as_described,88.42,True
RET00292,TXN004107,CUST05611,PROD0224,2023-06-30,wrong_item,43.99,True
RET00293,TXN004137,CUST04955,PROD0396,2024-07-08,wrong_item,35.05,True
RET00294,TXN004170,CUST02770,PROD0495,2024-12-22,not_as_described,546.21,True
RET00295,TXN004178,CUST03019,PROD0017,2023-07-19,not_as_described,474.39,True
RET00296,TXN004185,CUST04947,PROD0459,2024-01-06,not_as_described,72.93,True
RET00297,TXN004202,CUST07704,PROD0052,2023-04-08,defective,376.76,True
RET00298,TXN004206,CUST05464,PROD0483,2022-07-13,not_as_described,109.46,False
RET00299,TXN004207,CUST04604,PROD0367,2022-12-23,defective,744.4,True
RET00300,TXN004211,CUST04941,PROD0093,2023-12-10,defective,453.65,False
RET00301,TXN004218,CUST04824,PROD0216,2022-02-24,changed_mind,4766.36,True
RET00302,TXN004241,CUST04295,PROD0113,2023-12-07,not_as_described,223.1,True
RET00303,TXN004275,CUST04915,PROD0241,2024-12-10,defective,46.1,False
RET00304,TXN004278,CUST00130,PROD0031,2022-06-18,changed_mind,138.36,True
RET00305,TXN004280,CUST05393,PROD0438,2023-07-14,defective,64.88,False
RET00306,TXN004285,CUST00435,PROD0127,2023-12-10,not_as_described,575.46,True
RET00307,TXN004290,CUST04103,PROD0176,2022-12-28,defective,1113.2,True
RET00308,TXN004325,CUST04171,PROD0351,2024-09-14,changed_mind,166.57,False
RET00309,TXN004330,CUST06948,PROD0248,2022-11-23,wrong_item,131.83,False
RET00310,TXN004337,CUST01713,PROD0103,2024-01-29,changed_mind,198.8,True
RET00311,TXN004353,CUST00901,PROD0291,2024-05-24,changed_mind,1156.73,True
RET00312,TXN004372,CUST03667,PROD0305,2024-01-10,wrong_item,329.64,True
RET00313,TXN004383,CUST03000,PROD0085,2022-01-17,not_as_described,1071.28,False
RET00314,TXN004405,CUST01117,PROD0356,2022-09-08,not_as_described,819.56,True
RET00315,TXN004408,CUST00284,PROD0046,2024-04-07,wrong_item,110.91,True
RET00316,TXN004447,CUST05003,PROD0474,2024-08-10,defective,329.92,False
RET00317,TXN004449,CUST03179,PROD0429,2023-12-04,defective,96.98,True
RET00318,TXN004461,CUST00436,PROD0349,2024-04-06,late_delivery,570.06,False
RET00319,TXN004463,CUST00632,PROD0485,2025-01-22,late_delivery,38.29,False
RET00320,TXN004464,CUST07289,PROD0220,2024-06-06,wrong_item,284.14,True
RET00321,TXN004467,CUST02647,PROD0148,2022-12-12,not_as_described,36.03,False
RET00322,TXN004483,CUST03146,PROD0308,2023-09-30,not_as_described,2162.64,True
RET00323,TXN004509,CUST05097,PROD0480,2022-08-01,defective,1427.13,True
RET00324,TXN004516,CUST00722,PROD0055,2023-06-13,defective,179.48,True
RET00325,TXN004529,CUST02852,PROD0356,2023-03-10,changed_mind,1639.12,True
RET00326,TXN004530,CUST03496,PROD0073,2024-04-15,defective,256.54,True
RET00327,TXN004537,CUST01227,PROD0025,2024-12-07,not_as_described,83.07,True
RET00328,TXN004540,CUST00882,PROD0386,2022-09-21,changed_mind,83.55,False
RET00329,TXN004558,CUST00151,PROD0010,2023-04-04,not_as_described,39.69,True
RET00330,TXN004570,CUST05674,PROD0051,2024-04-23,not_as_described,155.94,False
RET00331,TXN004589,CUST07505,PROD0001,2024-02-21,not_as_described,25.82,True
RET00332,TXN004590,CUST00172,PROD0429,2024-07-10,changed_mind,121.23,True
RET00333,TXN004598,CUST07478,PROD0112,2023-11-14,changed_mind,23.16,True
RET00334,TXN004606,CUST00218,PROD0230,2024-08-05,changed_mind,77.98,False
RET00335,TXN004623,CUST01677,PROD0055,2022-07-22,late_delivery,897.42,True
